player_name,batting_proj,total_runs,batting_strike_rate,bowling_proj,wickets_taken,economy_rate,projected_fantasy_points,role,credits,base_proj,vegas_multiplier,vegas_proj,shift,team,salary,lineup_id
AC Jayangani,814.98,799.0,111.28133704735376,519.73284,23.0,6.425427872860635,1334.71284,AR,8.5,1334.71284,0.9373687420594126,1251.1180958413458,-83.59474415865407,Team_B,8.5,1
AC Kerr,424.32,416.0,104.52261306532664,898.61184,40.0,5.4748603351955305,1322.93184,AR,8.5,1322.93184,1.033555868416714,1367.323966747321,44.39212674732107,Team_A,8.5,1
AJ Healy,879.24,862.0,128.4649776453055,0.0,0.0,0.0,879.24,BAT,8.5,879.24,1.085552788417904,954.4614336885578,75.2214336885578,Team_B,8.5,1
DJS Dottin,639.54,627.0,108.66551126516464,809.46384,36.0,4.952662721893491,1449.00384,AR,8.5,1449.00384,0.9096147044602516,1318.03519968337,-130.96864031663017,Team_B,8.5,1
EA Perry,663.0,650.0,116.48745519713262,653.4548400000001,29.0,5.096774193548387,1316.45484,AR,8.5,1316.45484,1.108931027762678,1459.857618724352,143.40277872435195,Team_A,8.5,1
H Kaur,821.1,805.0,116.66666666666669,296.86284,13.0,5.0638297872340425,1117.96284,AR,8.5,1117.96284,1.092436113869325,1221.3029803799138,103.34014037991392,Team_B,8.5,1
HK Matthews,666.0600000000001,653.0,103.15955766192732,698.02884,31.0,5.839080459770115,1364.08884,AR,8.5,1364.08884,1.0922320465492188,1489.9015453881498,125.81270538814988,Team_A,8.5,1
M Kapp,534.48,524.0,111.01694915254237,854.0378400000001,38.0,4.642857142857143,1388.51784,AR,8.5,1388.51784,1.1161259272795352,1549.7607617141773,161.24292171417733,Team_A,8.5,1
ML Schutt,7.140000000000001,7.0,77.77777777777779,1210.62984,54.0,5.117088607594937,1217.7698400000002,BOWL,8.5,1217.7698400000002,0.92117472624904,1121.7787989963374,-95.99104100366276,Team_B,8.5,1
S Ecclestone,48.96,38.0,146.15384615384613,965.47284,43.0,4.55,1014.43284,BOWL,8.5,1014.43284,0.9359623756384852,949.4709708520954,-64.96186914790462,Team_A,8.5,1
